Time,rep1,rep2,rep3,rep4,rep5
0.06000098,0,0,0,0,0
0.1800009,-0.00501848,-0.00773716,-0.00640426,0.00350802,-0.00650426
0.3000007,-0.01363432,-0.01479086,-0.01151084,0.00227944,-0.01240095
0.4200006,-0.02134851,-0.02099111,-0.01671737,0.00029163,-0.01723848
0.5400005,-0.02781094,-0.02677166,-0.0219826,-0.0046193,-0.02163319
0.6600004,-0.03250045,-0.03164658,-0.0270504,-0.00913565,-0.02573448
0.7800002,-0.03736426,-0.03613153,-0.0326606,-0.0131312,-0.02927702
0.9000001,-0.04200101,-0.04024777,-0.03703655,-0.01719487,-0.03256846
1.02,-0.04538787,-0.04390696,-0.04042379,-0.02205282,-0.03555501
1.14,-0.04780231,-0.04718067,-0.04354423,-0.02649874,-0.03838404
1.26,-0.0508257,-0.05009072,-0.04641075,-0.02973269,-0.04098685
1.38,-0.05338615,-0.05272204,-0.04901467,-0.03272174,-0.04342194
1.5,-0.05551324,-0.05510185,-0.05143048,-0.03504297,-0.04564818
1.619999,-0.05687458,-0.05722056,-0.05361667,-0.03698252,-0.04760948
1.739999,-0.05867237,-0.05903721,-0.05559942,-0.03882757,-0.04943738
1.859999,-0.06074699,-0.06080167,-0.05730692,-0.04109528,-0.05114098
1.979999,-0.06282362,-0.0624214,-0.05896971,-0.04375326,-0.05276468
2.099999,-0.06484588,-0.06391007,-0.0604523,-0.04652486,-0.05417648
2.219999,-0.06662479,-0.06518794,-0.0618992,-0.04919856,-0.05553388
2.339999,-0.06837481,-0.06632925,-0.0629448,-0.05167636,-0.05669258
2.459999,-0.06984605,-0.06728872,-0.0639789,-0.05390426,-0.05780428
2.579998,-0.07116113,-0.06813784,-0.064904,-0.05586786,-0.05898798
2.699998,-0.07228333,-0.06894403,-0.0658046,-0.05753586,-0.05991798
2.819998,-0.07320257,-0.06962934,-0.0666658,-0.05892116,-0.06076618
2.939998,-0.07395689,-0.07024669,-0.0673482,-0.06003266,-0.06148628
3.059998,-0.07465755,-0.07071664,-0.067948,-0.06090496,-0.06219368
3.179998,-0.07521105,-0.07115004,-0.0684705,-0.06175476,-0.06281778
3.299998,-0.07567456,-0.07158884,-0.0689339,-0.06245036,-0.06348608
3.419998,-0.07604682,-0.07196864,-0.0695062,-0.06303686,-0.06400288
3.539997,-0.07635532,-0.07230774,-0.069905,-0.06357636,-0.06448898
3.659997,-0.07668232,-0.07254544,-0.0702595,-0.06387856,-0.06490248
3.779997,-0.07701362,-0.07276874,-0.0705729,-0.06432856,-0.06529308
3.899997,-0.07719612,-0.07300904,-0.0708493,-0.06464256,-0.06571458
4.019997,-0.07735222,-0.07325344,-0.0711803,-0.06501876,-0.06609468
4.139997,-0.07751922,-0.07342284,-0.0714362,-0.06530776,-0.06643008
4.259997,-0.07765232,-0.07355844,-0.0716544,-0.06554906,-0.06667908
4.379997,-0.07787712,-0.07363644,-0.0717846,-0.06584596,-0.06695798
4.499996,-0.07794952,-0.07378454,-0.0719568,-0.06609676,-0.06723018
4.619996,-0.07801172,-0.07388014,-0.0721339,-0.06630036,-0.06751568
4.739996,-0.07809292,-0.07402304,-0.0722967,-0.06649936,-0.06773588
4.859996,-0.07819092,-0.07410184,-0.0723957,-0.06664486,-0.06790348
4.979996,-0.07808122,-0.07404424,-0.0724888,-0.06686006,-0.06807928
5.099996,-0.07801122,-0.07410194,-0.0725963,-0.06703846,-0.06826108
5.219996,-0.07805032,-0.07415064,-0.072674,-0.06719826,-0.06845708
5.339996,-0.07804522,-0.07427744,-0.0727933,-0.06736526,-0.06858458
5.459996,-0.07814042,-0.07432664,-0.0729383,-0.06739276,-0.06871498
5.579995,-0.07818162,-0.07446594,-0.0729667,-0.06753246,-0.06876158
5.699995,-0.07829912,-0.07436954,-0.0729753,-0.06766326,-0.06890268
5.819995,-0.07829042,-0.07444114,-0.0730388,-0.06777446,-0.06911338
5.939995,-0.07831802,-0.07445944,-0.0731379,-0.06796736,-0.06917438
6.059995,-0.07826022,-0.07453544,-0.0731475,-0.06792526,-0.06924158
6.179995,-0.07828482,-0.07457664,-0.0731852,-0.06800096,-0.06928568
6.299995,-0.07834792,-0.07449314,-0.0731598,-0.06806696,-0.06933628
6.419995,-0.07836922,-0.07451704,-0.0731882,-0.06819886,-0.06947958
6.539994,-0.07832102,-0.07456934,-0.073239,-0.06827356,-0.06954758
6.659994,-0.07832422,-0.07462214,-0.0733225,-0.06832236,-0.06955518
